DOR Code,Municipality,Fiscal Year,Residential,Open Space,Commercial,Industrial,Personal Property
001,Abington,2023,14.21,0.00,14.21,14.21,14.21
001,Abington,2024,13.38,0.00,13.38,13.38,13.38
002,Acton,2023,17.56,0.00,17.56,17.56,17.56
002,Acton,2024,16.67,0.00,16.67,16.67,16.67
003,Acushnet,2023,12.00,0.00,16.98,16.98,16.98
003,Acushnet,2024,11.41,0.00,16.13,16.13,16.13
004,Adams,2023,18.55,0.00,25.65,25.65,25.65
004,Adams,2024,17.54,0.00,24.23,24.23,24.23
005,Agawam,2023,15.78,0.00,30.19,30.19,30.19
005,Agawam,2024,14.54,0.00,27.54,27.54,27.54
006,Alford,2023,5.00,0.00,5.00,5.00,5.00
006,Alford,2024,4.95,0.00,4.95,4.95,4.95
007,Amesbury,2023,16.34,0.00,16.34,16.34,16.34
007,Amesbury,2024,15.64,0.00,15.64,15.64,15.64
008,Amherst,2023,20.10,0.00,20.10,20.10,20.10
008,Amherst,2024,18.51,0.00,18.51,18.51,18.51
009,Andover,2023,13.66,0.00,27.32,27.32,27.32
009,Andover,2024,,,,,
010,Arlington,2023,11.21,0.00,11.21,11.21,11.21
010,Arlington,2024,10.59,0.00,10.59,10.59,10.59
011,Ashburnham,2023,16.55,0.00,16.55,16.55,16.55
011,Ashburnham,2024,,,,,
012,Ashby,2023,16.42,0.00,16.42,16.42,16.42
012,Ashby,2024,,,,,
013,Ashfield,2023,17.61,0.00,17.61,17.61,17.61
013,Ashfield,2024,,,,,
014,Ashland,2023,13.77,13.77,13.77,13.77,13.77
014,Ashland,2024,,,,,
015,Athol,2023,14.04,0.00,14.04,14.04,14.04
015,Athol,2024,12.83,0.00,12.83,12.83,12.83
016,Attleboro,2023,13.69,0.00,20.27,20.27,20.27
016,Attleboro,2024,12.73,0.00,19.22,19.22,19.22
017,Auburn,2023,15.88,0.00,18.58,18.58,18.50
017,Auburn,2024,14.93,0.00,16.81,16.81,16.73
018,Avon,2023,13.62,0.00,27.00,27.00,27.00
018,Avon,2024,14.03,0.00,27.84,27.84,27.77
019,Ayer,2023,12.42,0.00,27.45,27.45,27.45
019,Ayer,2024,,,,,
020,Barnstable,2023,7.07,0.00,6.43,6.43,6.43
020,Barnstable,2024,6.65,0.00,5.92,5.92,5.92
021,Barre,2023,15.86,0.00,15.86,15.86,15.86
021,Barre,2024,13.98,0.00,13.98,13.98,13.98
022,Becket,2023,10.76,0.00,10.76,10.76,10.76
022,Becket,2024,,,,,
023,Bedford,2023,12.48,0.00,28.16,28.16,28.16
023,Bedford,2024,11.88,0.00,26.70,26.70,26.70
024,Belchertown,2023,16.32,0.00,16.32,16.32,16.32
024,Belchertown,2024,15.32,0.00,15.32,15.32,15.32
025,Bellingham,2023,13.05,0.00,18.57,18.57,18.48
025,Bellingham,2024,12.86,0.00,18.52,18.52,18.44
026,Belmont,2023,11.24,0.00,11.24,11.24,11.24
026,Belmont,2024,,,,,
027,Berkley,2023,13.22,0.00,13.22,13.22,13.22
027,Berkley,2024,12.45,0.00,12.45,12.45,12.45
028,Berlin,2023,13.84,13.84,23.49,23.49,23.34
028,Berlin,2024,12.75,12.75,25.45,25.45,25.27
029,Bernardston,2023,15.99,0.00,15.99,15.99,15.99
029,Bernardston,2024,,,,,
030,Beverly,2023,11.26,11.26,22.07,22.07,22.07
030,Beverly,2024,,,,,
031,Billerica,2023,11.87,0.00,26.45,26.45,26.45
031,Billerica,2024,11.29,0.00,25.09,25.09,25.09
032,Blackstone,2023,16.18,0.00,16.18,16.18,16.18
032,Blackstone,2024,16.33,0.00,16.33,16.33,16.33
033,Blandford,2023,13.66,0.00,13.66,13.66,13.66
033,Blandford,2024,,,,,
034,Bolton,2023,17.50,0.00,17.50,17.50,17.50
034,Bolton,2024,16.26,0.00,16.26,16.26,16.26
035,Boston,2023,10.74,0.00,24.68,24.68,24.68
035,Boston,2024,,,,,
036,Bourne,2023,8.81,0.00,8.81,8.81,8.81
036,Bourne,2024,,,,,
037,Boxborough,2023,15.52,0.00,15.52,15.52,15.52
037,Boxborough,2024,14.99,0.00,14.99,14.99,14.99
038,Boxford,2023,13.84,0.00,13.84,13.84,13.84
038,Boxford,2024,13.05,0.00,13.05,13.05,13.05
039,Boylston,2023,14.40,0.00,14.40,14.40,14.40
039,Boylston,2024,13.81,0.00,13.81,13.81,13.81
040,Braintree,2023,9.76,0.00,21.18,21.18,21.11
040,Braintree,2024,9.48,0.00,20.25,20.25,20.19
041,Brewster,2023,6.99,0.00,6.99,6.99,6.99
041,Brewster,2024,6.81,0.00,6.81,6.81,6.81
